"","country","year","per_capita","m_xpense","gdp_share","r_average","per_capita_growth","m_xpense_growth","gdp_share_growth","r_average_growth"
"100","Japan",2013,382,49024,0.00950865860745235,54518,-18.2012847965739,-18.3096713990535,-1.71188321445772,-9.71897925050093
"101","Japan",2014,366,46881,0.00967334406596872,47952.5,-4.18848167539267,-4.37132832898172,1.73195258464007,-12.0428115484794
"102","Japan",2015,329,42106,0.00960651844555374,44493.5,-10.1092896174863,-10.1853629402103,-0.690822325343224,-7.21338824878786
"103","Japan",2016,364,46471,0.00942157852518746,44288.5,10.6382978723404,10.3666935828623,-1.92515031761459,-0.460741456617259
"104","Japan",2017,356,45387,0.00934960013781154,45929,-2.1978021978022,-2.33263755890771,-0.763973756451666,3.70412183749732
"105","India",1992,9,8083,0.0279944412523217,NA,NA,NA,NA,NA
"106","India",1993,9,8254,0.0292914212890761,8168.5,0,2.11555115674873,4.63299133233051,NA
"107","India",1994,9,8881,0.0275102688665739,8567.5,0,7.59631693724255,-6.08079889645554,4.88461773887495
"108","India",1995,10,9754,0.0265402203371343,9317.5,11.1111111111111,9.82997410201554,-3.52613249308598,8.75401225561716
"109","India",1996,10,9905,0.02545692431562,9829.5,0,1.54808283781013,-4.08171449880012,5.4950362221626
"110","India",1997,11,11465,0.0272615672228188,10685,10,15.7496214033317,7.08900605911595,8.70339284805941
"111","India",1998,12,11921,0.0280857269301051,11693,9.09090909090909,3.97732228521587,3.02315600768688,9.43378568086102
"112","India",1999,13,13896,0.0306489108829737,12908.5,8.33333333333333,16.5674020635853,9.12628666955087,10.3951081843838
"113","India",2000,14,14288,0.0305427719984208,14092,7.69230769230769,2.8209556706966,-0.346305566805276,9.16837742572723
"114","India",2001,14,14601,0.0293379444115606,14444.5,0,2.19064949608063,-3.94472245977714,2.50141924496168
"115","India",2002,14,14750,0.0283319667596595,14675.5,0,1.02047804944867,-3.42893025424308,1.59922461836685
"116","India",2003,15,16334,0.0268117622185419,15542,7.14285714285714,10.7389830508475,-5.36568659004006,5.90439848727471
"117","India",2004,18,20239,0.0282875261010237,18286.5,20,23.9071874617363,5.50416593453611,17.6586024964612
"118","India",2005,20,23072,0.0275490676536605,21655.5,11.1111111111111,13.9977271604328,-2.61054446658198,18.423427118366
"119","India",2006,21,23952,0.0252680623371543,23512,5,3.81414701803051,-8.27979133516369,8.57287986885549
"120","India",2007,24,28255,0.0234263368016218,26103.5,14.2857142857143,17.9650968603874,-7.28874858292731,11.0220313031643
"121","India",2008,28,33002,0.0255019484694657,30628.5,16.6666666666667,16.8005662714564,8.86016318052853,17.3348401555347
"122","India",2009,32,38722,0.028934959701011,35862,14.2857142857143,17.3322828919459,13.4617605225567,17.0870267887752
"123","India",2010,37,46090,0.0270746752037163,42406,15.625,19.0279427715511,-6.42919332363783,18.2477273994758
"124","India",2011,40,49634,0.0265158495242813,47862,8.10810810810811,7.68930353655891,-2.06401618941023,12.8661038532283
"125","India",2012,37,47217,0.0253547653435466,48425.5,-7.5,-4.86964580730951,-4.37883078070522,1.17734319501901
"126","India",2013,37,47404,0.0246411827633853,47310.5,0,0.396043797784696,-2.81439236566604,-2.30250591114186
"127","India",2014,39,50914,0.0248815792057366,49159,5.40540540540541,7.40443844401316,0.975588082194153,3.90716648524112
"128","India",2015,39,51295,0.0240512834896271,51104.5,0,0.748320697647013,-3.33698962290171,3.95756626457007
"129","India",2016,43,56638,0.0250647091563728,53966.5,10.2564102564103,10.4162199044741,4.21360326646509,5.60028960267687
"130","India",2017,48,63924,0.0249304554388627,60281,11.6279069767442,12.8641548077263,-0.535628467390323,11.7007773340869
"131","Australia",1992,394,6882,0.0216874608012627,NA,NA,NA,NA,NA
"132","Australia",1993,381,6734,0.0217802988646311,6808,-3.2994923857868,-2.1505376344086,0.428072535642493,NA
"133","Australia",1994,417,7460,0.0211659858893427,7097,9.44881889763779,10.7811107811108,-2.82049837381233,4.24500587544066
"134","Australia",1995,424,7666,0.0202131256804327,7563,1.67865707434053,2.76139410187668,-4.50184656595585,6.56615471325912
"135","Australia",1996,449,8203,0.0193044006740518,7934.5,5.89622641509434,7.0049569527785,-4.4957173905102,4.91207192912865
"136","Australia",1997,430,7937,0.0186733439499343,8070,-4.23162583518931,-3.24271607948312,-3.26897858562201,1.70773205621022
"137","Australia",1998,381,7108,0.0187112181310612,7522.5,-11.3953488372093,-10.4447524253496,0.202824846093018,-6.78438661710037
"138","Australia",1999,412,7770,0.0188923574072912,7439,8.13648293963255,9.31344963421497,0.968078480840826,-1.11000332336324
"139","Australia",2000,382,7274,0.0182984191251005,7522,-7.28155339805825,-6.38352638352638,-3.14380185270862,1.11574136308644
"140","Australia",2001,366,7043,0.0187009387891872,7158.5,-4.18848167539267,-3.17569425350564,2.19975103496547,-4.8324913586812
"141","Australia",2002,408,7947,0.0187396462061393,7495,11.4754098360656,12.835439443419,0.2069811435056,4.70070545505343
"142","Australia",2003,504,9927,0.0184628968871455,8937,23.5294117647059,24.9150622876557,-1.47681186693478,19.2394929953302
"143","Australia",2004,601,11995,0.0182741076940486,10961,19.2460317460317,20.832074141231,-1.02253288988626,22.647420834732
"144","Australia",2005,654,13238,0.0180185377485481,12616.5,8.81863560732113,10.3626511046269,-1.39853583977565,15.103548946264
